trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,101,56.0231,3.287495,1,0,ortools_cp_sat,0,0,0,0,0,0
0,SolverKind.hybrid,101,15247.9514,3.787495,0,4,simulated_annealing_fallback,4,0,0,0,0,0
1,SolverKind.classical,202,19.5833,3.287495,1,0,ortools_cp_sat,0,0,0,0,0,0
1,SolverKind.hybrid,202,15024.5699,6.055142,0,1,simulated_annealing_fallback,1,0,0,0,0,0
2,SolverKind.classical,303,23.4260,3.287495,1,0,ortools_cp_sat,0,0,0,0,0,0
2,SolverKind.hybrid,303,14876.0111,3.887495,0,6,simulated_annealing_fallback,6,0,0,0,0,0
