preset,seed,cand_total,conflict_density,occupancy_pressure,ach_min,ach_max,ach_degenerate,target,cap,trunc_risk,all_single_height
toy,111,144,0.8073038073038074,0.09205094422485727,0.0,0.9259104570764821,False,0.55,24,True,False
toy,222,144,0.793997668997669,0.09581574306631753,0.0,0.9050543073714516,False,0.55,24,True,False
toy,333,144,0.6895881895881896,0.05538095238095238,0.0,0.9289795730585206,False,0.55,24,True,False
small,123,288,0.7289246999612853,0.04027305625616844,0.0,0.9336501367344506,False,0.55,24,True,False
small,234,288,0.7466608594657376,0.02674280221540715,0.0,0.9376415819422342,False,0.55,24,True,False
small,345,288,0.7406358885017421,0.021475256769374416,0.0,0.9400601994637161,False,0.55,24,True,False
