trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,111,123.6132,3.959524,0,1,ortools_cp_sat,0,0,0,0,1,0
0,SolverKind.hybrid,111,58912.4768,4.307143,0,6,simulated_annealing_fallback,5,0,0,0,1,0
1,SolverKind.classical,222,86.2181,3.959524,0,1,ortools_cp_sat,0,0,0,0,1,0
1,SolverKind.hybrid,222,58804.2109,5.988095,0,5,simulated_annealing_fallback,4,0,0,0,1,0
2,SolverKind.classical,333,46.1885,3.959524,0,1,ortools_cp_sat,0,0,0,0,1,0
2,SolverKind.hybrid,333,55996.3338,4.450000,0,5,simulated_annealing_fallback,4,0,0,0,1,0
