trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,101,101.6940,3.287495,1,0,ortools_cp_sat,0,0,0,0,0,0
0,SolverKind.hybrid,101,15113.7827,3.387495,0,4,simulated_annealing_fallback,4,0,0,0,0,0
1,SolverKind.classical,202,19.2002,3.287495,1,0,ortools_cp_sat,0,0,0,0,0,0
1,SolverKind.hybrid,202,15474.3595,5.655142,0,1,simulated_annealing_fallback,1,0,0,0,0,0
2,SolverKind.classical,303,22.2221,3.287495,1,0,ortools_cp_sat,0,0,0,0,0,0
2,SolverKind.hybrid,303,15093.6083,3.487495,0,6,simulated_annealing_fallback,6,0,0,0,0,0
