trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,111,54.5689,5.516667,1,0,ortools_cp_sat,0,0,0,0,0,0
0,SolverKind.hybrid,111,53002.3988,7.250000,0,6,simulated_annealing_fallback,6,0,0,0,0,0
1,SolverKind.classical,222,57.3917,5.516667,1,0,ortools_cp_sat,0,0,0,0,0,0
1,SolverKind.hybrid,222,51952.4580,9.080000,0,2,simulated_annealing_fallback,2,0,0,0,0,0
2,SolverKind.classical,333,48.4403,5.516667,1,0,ortools_cp_sat,0,0,0,0,0,0
2,SolverKind.hybrid,333,52363.2097,7.250000,0,4,simulated_annealing_fallback,4,0,0,0,0,0
