trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,placement_geometry_valid,solver_certified_geometry,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,234,204.9044,0.000000,0,1,ortools_cp_sat,0,0,0,0,0,0,0,1
0,SolverKind.hybrid,234,446404.6160,12.983333,0,43,simulated_annealing_fallback,1,1,42,0,0,0,1,0
