trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,111,51.6135,3.121739,0,13,ortools_cp_sat,13,0,0,0,0,0
0,SolverKind.hybrid,111,71116.0418,9.196296,0,1,simulated_annealing_fallback,1,0,0,0,0,0
1,SolverKind.classical,222,45.9005,3.382609,0,10,ortools_cp_sat,10,0,0,0,0,0
1,SolverKind.hybrid,222,72349.3496,9.196296,0,1,simulated_annealing_fallback,1,0,0,0,0,0
2,SolverKind.classical,333,49.2676,2.947826,0,15,ortools_cp_sat,15,0,0,0,0,0
2,SolverKind.hybrid,333,69646.1931,9.196296,0,1,simulated_annealing_fallback,1,0,0,0,0,0
