trial_index,solver_kind,seed,elapsed_ms,objective,feasible,violations,backend_type,overlap_violations,boundary_violations,assignment_violations,activation_consistency_violations,density_violations,other_violations
0,SolverKind.classical,123,323.5748,5.301613,0,48,ortools_cp_sat,48,0,0,0,0,0
0,SolverKind.hybrid,123,254753.7172,17.613889,0,10,simulated_annealing_fallback,10,0,0,0,0,0
